id,degree,community,component
Michael Sterling,21,3,1
Ericka Jane,8,17,1
Ranveer Singh,18,70,1
Raftaar,87,70,1
Lil Koni,16,46,1
Ramz,20,3,1
Sandy,25,25,1
Leto,95,43,1
Miliyah,32,45,1
VeraQuintana,0,237,186
Cleo,23,11,1
Melendi,33,7,1
ONEFOUR,17,3,1
NOBITA,0,238,187
Skusta Clee,18,23,1
Whiteberry,0,239,188
JENNIE,3,34,1
Sjöroos & Vesala,0,240,189
Maxim Schunk,35,39,1
XG,0,241,190
Roffo,0,242,191
DON x LEE x BARBER,0,243,192
Sondre Lerche,31,1,1
Michael Kiwanuka,13,18,1
Emmi Christensson,6,1,1
玖壹壹,22,20,1
ayokay,19,18,1
Í svörtum fötum,1,14,1
Rabby Racks,35,22,1
Jaill,21,2,1
DJ Totti,11,27,1
Lalo Y Los Descalzos,3,244,193
Inspo,5,245,194
Denis Nuca,3,116,1
spsalola,1,246,195
Elandré,1,76,1
Nino Bravo,12,7,1
TAEYANG,14,34,1
Tume,2,37,1
安溥,0,247,196
WAMI,14,39,1
Ruma,20,37,1
Don&RL9,7,11,1
BEK & Wallin,9,1,1
Serena,28,5,1
milet,11,45,1
Mirror Glimpse,1,248,197
Francesco Guasti,1,249,198
DODO,21,22,1
Talis e Welinton,10,25,1
One Note'till Dusk,0,250,199
Ruel,23,18,1
Katja Krasavice,12,2,1
OBOY,11,43,1
『ユイカ』,2,45,1
Pedro Capó,45,7,1
Aurelie Hermansyah,4,251,200
Sandrina,4,37,1
Willem,11,22,1
Ahmed Mekky,4,27,1
Zuna,24,2,1
The Cure,17,33,1
Danny Vera,11,22,1
A Symphoniserz,0,252,201
Alex Da Kid,1,18,1
Ennio Morricone,276,9,1
Jay Park,123,34,1
Amaro,50,7,1
Alberto,29,11,1
Priscila Senna,36,25,1
Nawi,1,253,202
Robin Paulsson,0,254,203
PUN,3,24,1
Logic,87,18,1
Muslim,7,27,1
102 Boyz,65,2,1
Blueface,74,18,1
Gaab,112,25,1
Breiðablik,1,14,1
JustVidman,0,255,204
Natasa Theodoridou,18,46,1
Juicy J,194,18,1
Edinho Pakera O Barão Da Pisadinha,1,256,205
MOLY,9,7,1
Curly Strings,28,16,1
The Strokes,2,33,1
Abi,0,257,206
Ingebjørg Bratland,11,1,1
SAINT PHNX,3,18,1
George Talent,16,5,1
LUNA KI,7,7,1
Adham Seliman,1,258,207
Sinds,7,17,1
Siddhartha,6,7,1
Sol Calor,1,259,208
Big K. The Komik,0,260,209
JEON MI DO,1,34,1
Howie Day,0,261,210
Jonita Gandhi,100,70,1
Abdul & The Coffee Theory,5,262,211
汪睿,0,263,212
Legião Urbana,2,9,1
Menuets,1,47,1
Suni Hạ Linh,13,52,1
Linea 77,15,4,1
L Loko,13,2,1
TaitosmitH,5,24,1
Balming Tiger,6,34,1
